"title","year","genre","duration","metacritic","rating","votes","worldwide_gross_income","user_review","critics_review"
"Mad Max 2: The Road Warrior",1981,"Action",96,76,7.6,119955,23.667907,355,204
"Raiders of the Lost Ark",1981,"Action",115,90,8.6,589544,390.133212,948,258
"Stripes",1981,"Comedy",106,NA,6.9,44046,85.297,166,65
"48 Hrs.",1982,"Action",96,71,6.9,48464,78.868508,141,95
"Airplane II: The Sequel",1982,"Comedy",85,NA,6.1,33560,27.150534,143,25
"Annie",1982,"Comedy",126,39,6.5,28318,57.059003,147,42
"Blade Runner",1982,"Sci-Fi",117,88,8.2,419589,41.492614,1558,257
"Creepshow",1982,"Comedy",120,NA,6.8,26774,21.028755,235,178
"The Dark Crystal",1982,"Adventure",93,NA,7.2,38273,41.630431,277,119
"E.T. the Extra-Terrestrial",1982,"Family",115,94,7.9,259190,793.482178,612,255
"The Evil Dead",1981,"Horror",85,70,7.6,127411,2.893091,845,359
"Fast Times at Ridgemont High",1982,"Comedy",90,67,7.2,65709,27.09288,279,138
"Fanny and Alexander",1982,"Drama",188,100,8.1,38461,6.795771,143,101
"First Blood",1982,"Action",93,62,7.7,158161,125.212904,473,199
"Gandhi",1982,"Biography",191,NA,8.1,153687,52.767889,300,108
"Friday the 13th Part III",1982,"Horror",95,NA,5.7,28797,36.690067,420,266
"An Officer and a Gentleman",1982,"Drama",124,75,7,35749,129.795554,144,50
"Pink Floyd The Wall",1982,"Animation",95,NA,8,55969,22.258911,291,68
"Poltergeist",1982,"Horror",114,79,7.4,94447,77.142388,401,253
"Porky's",1981,"Comedy",94,40,6.1,29766,111.289673,179,86
"Rocky III",1982,"Drama",99,NA,6.7,103812,125.049125,243,90
"The Secret of NIMH",1982,"Animation",82,NA,7.6,25015,14.665733,172,56
"Sophie's Choice",1982,"Drama",150,68,7.7,26604,30.036,170,41
"Star Trek II: The Wrath of Khan",1982,"Action",113,71,7.7,85358,78.912963,401,112
"The Thing",1982,"Horror",109,NA,8.2,230709,19.62976,1108,343
"Tootsie",1982,"Comedy",116,87,7.4,72519,177.2,247,92
